Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Bias,Close Date,Close Time,Commission,Confluence,Did Emotions Affect Decisions?,Duration,Emotions,Entry Logic Explanation,Entry Model,Entry Price,Executions,Exit Price,Gross P&L,How Did The Trade Play Out?,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Notes For Coaches,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Profit Target   Did You Respect It?,Realized RR,Return Per Pip,Reviewed,Setups,Side,Status,Stop Loss   Did You Respect It?,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Was Emotionally Stable?,What I Did Well,Zella Score
TradingView Paper Trading,494700.0,493760.0,4947.0,4937.6,,-494700.0,,,downtrend,2026-02-04,11:38:27 EST,0.0,"","",223.0,"","","",4947.0,2,4937.6,-940.0,"",-950.0,1120.0,GC,future,"ignored bias, volatility",-940.0,-0.00190014,"",2026-02-04,11:34:44 EST,,1.17894737,-9.4,-980.0,480.0,4937.2,4951.8,"",-0.98947368,,true,"123, break & retest",long,Loss,"","ZTH | 1-2-3, Break & Retest",GC,-94.0,-94.0,0.0,0.0,0.5,1.0,"","",-95.91836735
TradingView Paper Trading,497825.0,497285.0,24891.25,24864.25,,-497825.0,,,downtrend,2026-02-04,12:35:44 EST,0.0,"","",95.0,"","","",24891.25,2,24864.25,-540.0,"",-530.0,1005.0,NQ,future,ignored bias,-540.0,-0.00108472,"",2026-02-04,12:34:09 EST,,1.89622642,-27.0,-595.0,25.0,24861.5,24892.5,"",-1.01886792,,true,pivot buy,long,Loss,"",ZTH | Pivot,NQ,-108.0,-108.0,0.0,0.0,0.5,1.0,"","",-90.75630252
TradingView Paper Trading,496345.0,496965.0,24817.25,24848.25,,720.0,24781.25,2026-02-05 17:00:00 UTC,downtrend,2026-02-05,11:55:34 EST,0.0,"","",1021.0,"","","",24817.25,2,24848.25,-620.0,"",-605.0,3670.0,NQ,future,stopped out on retractement,-620.0,-0.00124757,"",2026-02-05,11:38:33 EST,,6.0661157,-31.0,-785.0,1740.0,24856.5,24730.25,"",-1.02479339,,true,pivot sell,short,Loss,"",ZTH | Pivot,NQ,-124.0,-124.0,0.0,0.0,1.5,1.0,"","",-78.98089172
TradingView Paper Trading,496325.0,496730.0,24816.25,24836.5,,496325.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-05,12:51:09 EST,0.0,"","",4.0,"","","",24816.25,2,24836.5,-405.0,"",-290.0,790.0,NQ,future,no confluence,-405.0,-0.00081533,"",2026-02-05,12:51:05 EST,,2.72413793,-20.25,-410.0,50.0,24836.75,24813.75,"",-1.39655172,,true,"shouldn't be in this trade, practice position sizing",short,Loss,"","",NQ,-81.0,-81.0,0.0,0.0,0.5,1.0,"","",-98.7804878
TradingView Paper Trading,497740.0,498645.0,24887.0,24932.25,,130.0,24880.5,2026-02-06 16:00:00 UTC,uptrend,2026-02-06,11:02:45 EST,0.0,"","",302.0,"","","",24887.0,2,24932.25,-905.0,"",-915.0,2215.0,NQ,future,not off a level,-905.0,-0.00181492,"",2026-02-06,10:57:43 EST,,2.42076503,-45.25,-960.0,425.0,24935.0,24865.75,"",-0.98907104,,true,"",short,Loss,"","",NQ,-181.0,-181.0,0.0,0.0,,1.0,"","",-94.27083333
TradingView Paper Trading,496845.0,496860.0,24842.25,24843.0,,,,,"",2026-02-06,10:55:38 EST,0.0,"","",0.0,"","","",24842.25,2,24843.0,-15.0,"",0.0,0.0,NQ,future,"",-15.0,-0.00003019,"",2026-02-06,10:55:38 EST,,,-0.75,-90.0,0.0,24846.75,24842.75,"",,,false,oops,short,Loss,"","",NQ,-3.0,-3.0,0.0,0.0,,1.0,"","",-16.66666667
TradingView Paper Trading,64090.0,64190.0,64.09,64.19,-0.16,-64090.0,,,uptrend,2026-02-06,11:36:21 EST,0.0,"","",178.0,"","","",64.09,2,64.19,100.0,"",-40.0,90.0,CL,future,not an a+ setup,100.0,0.00156031,"",2026-02-06,11:33:23 EST,,2.25,0.1,-10.0,100.0,64.08,64.19,"",2.5,,true,"123, 5min tf, break & retest",long,Win,"","Break & Retest, ZTH | 1-2-3",CL,10.0,10.0,0.0,0.0,2.0,1.0,"","",100.0
TradingView Paper Trading,62950.0,62890.0,62.95,62.89,,60.0,63.01,2026-02-09 05:00:00 UTC,"",2026-02-09,00:43:14 EST,0.0,"","",2712.0,"","","",62.95,2,62.89,-60.0,"",-50.0,80.0,CL,future,"",-60.0,-0.00095314,"",2026-02-08,23:58:02 EST,,1.6,-0.06,-100.0,60.0,62.85,63.01,"",-1.2,,true,testing,long,Loss,"","",CL,-6.0,-6.0,0.0,0.0,0.5,1.0,"","",-60.0
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,190410.0,190530.0,63.47,63.51,,190410.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-09,09:35:40 EST,0.0,"","",89.0,"","","",63.47,2,63.51,-120.0,"",0.0,0.0,CL,future,"",-120.0,-0.00062982,"",2026-02-09,09:34:11 EST,,,-0.04,-180.0,150.0,63.53,63.42,"",,,false,"",short,Loss,"","",CL,-12.0,-4.0,0.0,0.0,,3.0,"","",-66.66666667
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,347462.5,347562.5,6949.25,6951.25,,347462.5,0.0,1970-01-01 00:00:00 UTC,"",2026-02-09,10:03:41 EST,0.0,"","",129.0,"","","",6949.25,2,6951.25,-100.0,"",0.0,0.0,ES,future,"",-100.0,-0.00028772,"",2026-02-09,10:01:32 EST,,,-2.0,-100.0,287.5,6951.25,6943.5,"",,,false,"",short,Loss,"","",ES,-8.0,-8.0,0.0,0.0,,1.0,"","",-100.0
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,347962.5,348500.0,6959.25,6970.0,,,,,"",2026-02-09,10:31:05 EST,0.0,"","",242.0,"","","",6959.25,2,6970.0,537.5,"",0.0,0.0,ES,future,"",537.5,0.00154471,"",2026-02-09,10:27:03 EST,,,10.75,-50.0,575.0,6958.25,6970.75,"",,,false,"",long,Win,"","",ES,43.0,43.0,0.0,0.0,,1.0,"","",93.47826087
Tradovate APEX 100K FULL_reset-3 - APEX-484839-05,190410.0,190350.0,63.47,63.45,66.67,90.0,63.44,2026-02-16 16:00:00 UTC,"downtrend, uptrend",2026-02-16,11:07:49 EST,0.0,"emas bullish, emas bearish",yes,1682.0,"frustrated, stressed, angry, happy, confident, ambivalent, anxious, calm, excited, fearful, neutral","fvg, fear of missing out",other (specify below),63.47,2,63.45,60.0,"as expected, not as expected, rapidly opposed my idea",0.0,0.0,CL,future,"continued to retrace after entry, bleed, chasing price, ignored bias, kept moving stoploss, moved tp & sl, no confluence, not an a+ setup, not filled 2nd sweep, not knowing how to use tradovate w/ trading view, not off a level, rushing, slow to execute, stopped out on retractement, volatility",60.0,0.00031521,"poor execution, great execution",2026-02-16,10:39:47 EST,,,0.02,-330.0,90.0,63.58,63.44,"1:2 rr, respected, not respected",,,true,"practice position sizing, rejection, shouldn't be in this trade, testing, 123, 5min tf, oops, break & retest, pivot buy, pivot sell",short,Win,"stop hit, respected, not respected","IT | TCL 1.0 (AKA TCL Max/Ultra), Break & Retest, IT | SMOG, ZTH | Rejection, ZTH | 1-2-3, ZTH | Pivot, Break & Retest - Vincent Desiano Template, IT | TC1 & 2, IT | G2, IT | CH1, ZTH | Bounce, IT | 35A, ZTH | SFP",CL,6.0,2.0,0.0,0.0,0.5,3.0,no,"exited in profit, realized the trade was moving the opposite direction",66.66666667
